journal_or_venue,relationship_type,status
Journal of Elder Abuse and Neglect,editorial-board,ongoing
Journal of the American Geriatrics Society,ad-hoc-reviewer,ongoing
Journal of Aging and Health,ad-hoc-reviewer,ongoing
Journal of Elder Abuse and Neglect,ad-hoc-reviewer,ongoing
Journal of Gerontology: Medical Sciences,ad-hoc-reviewer,ongoing
Journal of Adolescent Health,ad-hoc-reviewer,ongoing
Disability and Health Journal,ad-hoc-reviewer,ongoing
Nicotine & Tobacco Research,ad-hoc-reviewer,ongoing
Infectious Diseases in Obstetrics and Gynecology,ad-hoc-reviewer,ongoing
Alcoholism Clinical and Experimental Research,ad-hoc-reviewer,ongoing
Journal of Public Health,ad-hoc-reviewer,ongoing
Aggression and Violent Behavior,ad-hoc-reviewer,ongoing
rOpenSci,software-reviewer,ongoing
