start_year,end_year,category,role,organization,notes
2024,,community,Member,Texas Elder Justice Coalition,
2019,,community,Member,Tarrant County Adult Protective Services Community Board,
2020,2023,community,Member,Alzheimer's Association Dallas & Northeast Texas Chapter Medical Research Advisory Committee,
2019,2024,community,Vice President,Texas Adult Protective Services Community Board,
2019,2024,community,Member,Financial Exploitation Prevention Center of Tarrant County Advisory Coalition,
2013,2020,community,Member,Fort Worth Safe Communities Coalition - Elder Abuse Task Force,
2018,2020,community,Chair,Fort Worth Safe Communities Coalition - Elder Abuse Task Force,
2013,2019,community,Member,Fort Worth Safe Communities Coalition - Falls Prevention Task Force,
2017,2018,community,Member,United Way Health Council - United Way of Tarrant County,
2014,2018,community,Member,Tarrant County Adult Fatality Review Team,
2014,2015,community,Member,Texas Adult Protective Services Community Board,
2010,2010,community,Member,College of Public Health and Health Professions Haiti Disaster Relief Team,
2009,2009,community,Team Captain,Central and North Florida Memory Walk,Raised $1990 for Alzheimer's disease research as members of the College of Public Health memory walk team
2025,,university,Chair,TCU Departmental Promotion and Tenure Committee,
2024,2025,university,Director (5%),UTHealth Cizik Nursing Research Institute Research Informatics Core,
2024,2025,university,EM Lead (10%),UTHealth Institute on Aging,
2022,2024,university,Director (15%),UTHealth Dallas Student Affairs,
2022,2024,university,Chair,UTHealth Academic Council,
2022,2024,university,Chair,UTHealth Grievance Committee,
2022,2024,university,Chair,UTHealth Dallas branding and communications committee,
2022,2022,university,Member,UTHealth Academic Council,
2019,2024,university,Member,UTHealth IT Faculty Advisory Committee,
2021,2021,university,Chair,UTHealth Dallas Faculty Search Committee,
2020,2021,university,Member,UTHealth Faculty Mentoring Committee,
2019,2021,university,Member,UTHealth Epidemiology Preliminary Exam Committee,
2019,2020,university,Chair,UTHealth Dallas Faculty Search Committee,
2018,2021,university,Member,UTHealth Faculty Council,
2016,2017,university,Member,UNTHSC MPH Practice Committee,
2015,2016,university,Member,UNTHSC - TCU Medical School Faculty Affairs Committee,
2015,2016,university,Member,UNTHSC Ad Hoc Committee on Tenure,
2015,2016,university,Member,UNTHSC SPH Executive Council,
2015,2016,university,Member,UNTHSC SPH Ad Hoc Curriculum Committee,
2015,2016,university,Member,UNTHSC Ad Hoc Committee to Review Faculty Awards,
2015,2016,university,Member,UNTHSC Customer Service Culture Committee,
2015,2016,university,Member,UNTHSC SPH Dean Search Committee,
2014,2017,university,Member,UNTHSC Bylaws Committee,
2014,2016,university,Member,UNTHSC Faculty Senate,
2014,2015,university,Advisor,UNTHSC Student Aging Research Group,
2014,2015,university,Member,UNTHSC Office of People Development Leadership Committee,
2014,2015,university,Member,UNTHSC Dean's Ad Hoc SPH Organizational Structure Committee,
2014,2015,university,Member,UNTHSC President's Round Table,
2014,2015,university,Member,UNTHSC SPH Interprofessional Education Committee,
2013,2014,university,Member,UNTHSC SPH Ad Hoc Catalog Committee,
2012,2015,university,Member,UNTHSC SPH Public Health Practice Experience Committee,
2012,2014,university,Member,UNTHSC Institutional Scholarships Loans and Awards Committee,
2012,2014,university,Member,UNTHSC SPH Master's Admissions Committee,
2012,2013,university,Member,UNTHSC Faculty Senate,
2011,2012,university,Student Representative,UF Department of Epidemiology Curriculum Committee,
2002,2003,university,Senator,UNT Student Government Association,
2024,2024,profession,Scientific Reviewer,"National Institutes of Health, National Institute on Aging: Study Section ZAG1 ZIJ-D Elder Abuse & ADRD",
2021,2021,profession,Scientific Reviewer,U.S. Department of Health and Human Services Administration for Community Living,
2017,2020,profession,Member,National Research Career Development for Veterans Advisory Committee - U.S. Department of Veterans Affairs,
2016,2019,profession,Member,Early Career Reviewer Program Center for Scientific Review National Institutes of Health,
2015,2019,profession,Ad Hoc Member,Awards Committee Society for Epidemiologic Research,
2014,2018,profession,Member,Delta Omega National Honor Society in Public Health (Alpha Sigma Chapter),
2014,2015,profession,President,Delta Omega National Honor Society in Public Health (Alpha Sigma Chapter),
2013,2014,profession,Vice President,Delta Omega National Honor Society in Public Health (Alpha Sigma Chapter),
